step,epoch,loss,cosine,pred_norm,target_norm,lr,ema
206,1,0.005652714986354113,,,,1.5525e-06,1.0
207,1,0.005557549186050892,,,,1.5599999999999999e-06,1.0
208,1,0.0056096944026649,,,,1.5675e-06,1.0
209,1,0.00559492502361536,,,,1.575e-06,1.0
210,1,0.005511115770787001,,,,1.5825e-06,1.0
211,1,0.005523074418306351,,,,1.59e-06,1.0
212,1,0.005531336180865765,,,,1.5975e-06,1.0
213,1,0.005569620057940483,,,,1.605e-06,1.0
214,1,0.005599339958280325,,,,1.6125e-06,1.0
215,1,0.005470184609293938,,,,1.6200000000000002e-06,1.0
216,1,0.005457921419292688,,,,1.6275e-06,1.0
217,1,0.005440945737063885,,,,1.635e-06,1.0
218,1,0.005410666577517986,,,,1.6425000000000002e-06,1.0
219,1,0.005403116345405579,,,,1.65e-06,1.0
220,1,0.005371969658881426,,,,1.6575000000000002e-06,1.0
221,1,0.005390907637774944,,,,1.665e-06,1.0
222,1,0.005395638756453991,,,,1.6724999999999999e-06,1.0
223,1,0.005370240192860365,,,,1.68e-06,1.0
224,1,0.005349866114556789,,,,1.6875e-06,1.0
225,1,0.005321821663528681,,,,1.695e-06,1.0
226,1,0.005294246133416891,,,,1.7025e-06,1.0
227,1,0.005370273720473051,,,,1.7100000000000001e-06,1.0
228,1,0.0053553348407149315,,,,1.7175e-06,1.0
229,1,0.005331161431968212,,,,1.725e-06,1.0
230,1,0.005351720377802849,,,,1.7325000000000001e-06,1.0
231,1,0.005245642736554146,,,,1.74e-06,1.0
232,1,0.005270420107990503,,,,1.7475000000000002e-06,1.0
233,1,0.005235328804701567,,,,1.7550000000000001e-06,1.0
234,1,0.0052296556532382965,,,,1.7625e-06,1.0
235,1,0.005194572731852531,,,,1.77e-06,1.0
236,1,0.005182097665965557,,,,1.7775e-06,1.0
237,1,0.005148114636540413,,,,1.785e-06,1.0
238,1,0.005145693197846413,,,,1.7925e-06,1.0
239,1,0.005185572896152735,,,,1.8e-06,1.0
240,1,0.005208506248891354,,,,1.8075e-06,1.0
241,1,0.005135599989444017,,,,1.815e-06,1.0
242,1,0.005110305733978748,,,,1.8225000000000001e-06,1.0
243,1,0.005077349487692118,,,,1.83e-06,1.0
244,1,0.005066846963018179,,,,1.8375e-06,1.0
245,1,0.0050374483689665794,,,,1.8450000000000001e-06,1.0
246,1,0.005013650748878717,,,,1.8525e-06,1.0
247,1,0.005014142487198114,,,,1.8600000000000002e-06,1.0
248,1,0.005049954168498516,,,,1.8675000000000001e-06,1.0
249,1,0.005016844253987074,,,,1.875e-06,1.0
250,1,0.004985388368368149,,,,1.8825e-06,1.0
251,1,0.0049686008132994175,,,,1.89e-06,1.0
252,1,0.00493781641125679,,,,1.8975e-06,1.0
253,1,0.004952076822519302,,,,1.905e-06,1.0
254,1,0.004911270923912525,,,,1.9125000000000003e-06,1.0
255,1,0.0048723542131483555,,,,1.9200000000000003e-06,1.0
256,1,0.004924428183585405,,,,1.9274999999999998e-06,1.0
257,1,0.005012115463614464,,,,1.935e-06,1.0
258,1,0.004891951102763414,,,,1.9425e-06,1.0
259,1,0.004871758632361889,,,,1.95e-06,1.0
260,1,0.004818292800337076,,,,1.9575e-06,1.0
261,1,0.00480883102864027,,,,1.9650000000000002e-06,1.0
262,1,0.004797091707587242,,,,1.9724999999999997e-06,1.0
263,1,0.004799431189894676,,,,1.98e-06,1.0
264,1,0.00475073279812932,,,,1.9875e-06,1.0
265,1,0.004752642475068569,,,,1.9950000000000004e-06,1.0
266,1,0.0048582665622234344,,,,2.0025e-06,1.0
267,1,0.004798230715095997,,,,2.0100000000000002e-06,1.0
268,1,0.004720413126051426,,,,2.0175e-06,1.0
269,1,0.004683387465775013,,,,2.025e-06,1.0
270,1,0.004730883054435253,,,,2.0325e-06,1.0
271,1,0.004673557355999947,,,,2.04e-06,1.0
272,1,0.004738172981888056,,,,2.0475e-06,1.0
273,1,0.00473190238699317,,,,2.055e-06,1.0
274,1,0.004633474163711071,,,,2.0625e-06,1.0
275,1,0.004627843387424946,,,,2.07e-06,1.0
276,1,0.004650619812309742,,,,2.0775e-06,1.0
277,1,0.004702853038907051,,,,2.085e-06,1.0
278,1,0.004584300331771374,,,,2.0925000000000003e-06,1.0
279,1,0.004605012014508247,,,,2.1e-06,1.0
280,1,0.004586763214319944,,,,2.1075e-06,1.0
281,1,0.004489485174417496,,,,2.115e-06,1.0
282,1,0.004531508311629295,,,,2.1225000000000004e-06,1.0
283,1,0.004499771632254124,,,,2.13e-06,1.0
284,1,0.004572482779622078,,,,2.1375000000000003e-06,1.0
285,1,0.004572180099785328,,,,2.1450000000000002e-06,1.0
286,1,0.0044796522706747055,,,,2.1524999999999997e-06,1.0
287,1,0.004523877985775471,,,,2.16e-06,1.0
288,1,0.004454741254448891,,,,2.1675e-06,1.0
289,1,0.0044625550508499146,,,,2.175e-06,1.0
290,1,0.004545922391116619,,,,2.1825e-06,1.0
291,1,0.004479915834963322,,,,2.19e-06,1.0
292,1,0.0044236620888113976,,,,2.1975e-06,1.0
293,1,0.004498938098549843,,,,2.205e-06,1.0
294,1,0.004349919501692057,,,,2.2125e-06,1.0
295,1,0.004471837542951107,,,,2.2200000000000003e-06,1.0
296,1,0.004411118570715189,,,,2.2275e-06,1.0
297,1,0.0043376414105296135,,,,2.235e-06,1.0
298,1,0.004549478646367788,,,,2.2425e-06,1.0
299,1,0.004316829610615969,,,,2.25e-06,1.0
300,1,0.004401353187859058,,,,2.2575e-06,1.0
301,1,0.00435922434553504,,,,2.265e-06,1.0
302,1,0.00440557487308979,,,,2.2725000000000003e-06,1.0
303,1,0.004270532168447971,,,,2.2799999999999998e-06,1.0
304,1,0.004231053404510021,,,,2.2875e-06,1.0
305,1,0.004256953485310078,,,,2.295e-06,1.0
306,1,0.004301294684410095,,,,2.3025e-06,1.0
307,1,0.004307512193918228,,,,2.31e-06,1.0
308,1,0.004200892522931099,,,,2.3175000000000003e-06,1.0
309,1,0.004122537095099688,,,,2.325e-06,1.0
310,1,0.004258777480572462,,,,2.3325e-06,1.0
311,1,0.004158852621912956,,,,2.34e-06,1.0
312,1,0.004138176329433918,,,,2.3475000000000004e-06,1.0
313,1,0.004257016349583864,,,,2.355e-06,1.0
314,1,0.0041765570640563965,,,,2.3625e-06,1.0
